Date,log_return,vol_zscore,volume_zscore,momentum,state,regime,posterior_top_prob,posterior_margin,posterior_entropy,realized_vol,base_exposure,raw_position,position,strategy_gross_ret,turnover,trans_cost,strategy_net_ret,bah_ret,strategy_cum,bah_cum
2010-03-03,0.0008907831406542385,-0.8729235473568596,-0.8374791592326962,0.0026533069188231,2,Bear,1.0,1.0,1.1316400952471896e-20,0.092082537959547,1.628973346346045,0.6,0.0,0.0,0.0,0.0,0.0,0.0008907831406542385,1.0,1.0008907831406542
2010-03-04,0.0030232492914321583,-1.220098067769044,-0.9687997582295932,0.0035289065188502,0,Bull,0.9618692822818359,0.9238483128772502,0.16270895699631263,0.092082537959547,1.628973346346045,1.628973346346045,0.6,0.001813949574859295,0.6,0.00012,0.0016939495748592949,0.0030232492914321583,1.0016939495748594,1.003916725491585
2010-03-05,0.01419175750978574,-1.8076252804012591,-0.4489808813845287,0.0062408023602226,1,Chop,0.5287185843220634,0.05743723721398181,0.6914979062972364,0.092082537959547,1.628973346346045,1.5,1.628973346346045,0.02311799472124729,1.0289733463460449,0.00020579466926920898,0.022912200051978082,0.01419175750978574,1.0246449617383746,1.01816406821978
2010-03-08,0.00017536257823634572,-2.5893051895191115,-1.3982287491824283,0.0042096345558217,0,Bull,0.8085681959012034,0.6171363918079448,0.488292447695242,0.092082537959547,1.628973346346045,1.628973346346045,1.5,0.0002630438673545186,0.12897334634604496,2.5794669269208993e-05,0.00023724919808530958,0.00017536257823634572,1.0248880579338693,1.0183426160958506
2010-03-09,0.0016611972142651788,-2.249998954544569,-0.6449363709355556,0.0039884699468747,0,Bull,0.9487609078325699,0.8975218157443781,0.20214763966572624,0.092082537959547,1.628973346346045,1.628973346346045,1.628973346346045,0.0027060459850622763,0.12897334634604496,2.5794669269208993e-05,0.0026802513157930673,0.0016611972142651788,1.0276350154996872,1.0200342840128767
2010-03-10,0.004445639977456267,-2.433359818398658,0.0345363929644404,0.0046994413142351,0,Bull,0.9698426105908357,0.9396852212111603,0.13528884503360966,0.08241439937295746,1.8200702928282133,1.8200702928282133,1.628973346346045,0.007241829030726692,0.0,0.0,0.007241829030726692,0.004445639977456267,1.035076972587924,1.0245689892042602
2010-03-11,0.004166638865264275,-2.139108521696335,-0.4347979135197658,0.0049281192290015,0,Bull,0.9733472482179027,0.9466944967893351,0.12290694618741094,0.07523619722213612,1.9937211812702669,1.9937211812702669,1.8200702928282133,0.007583575619610963,0.19109694648216835,3.821938929643367e-05,0.007545356230314529,0.004166638865264275,1.0428869970718955,1.0288379981748232
2010-03-12,8.633103085729751e-05,-1.953279263710224,-0.3462089448590484,0.0021070339332158,0,Bull,0.9931373001149973,0.9862746008247172,0.041026706475351206,0.07317142475819388,2.0499805832085114,2.0,1.9937211812702669,0.00017212000482109106,0.17365088844205356,3.473017768841071e-05,0.00013738982713268035,8.633103085729751e-05,1.043030279136142,1.0289268188197906
2010-03-15,0.00025992207972814173,-1.9721510537106928,-0.6866237868552795,0.0021239458335142,0,Bull,0.995658230836344,0.9913164621133239,0.027949275304914523,0.07066444802956469,2.122708153571691,2.0,2.0,0.0005198441594562835,0.006278818729733127,1.2557637459466254e-06,0.0005185883957103368,0.00025992207972814173,1.0435711825352767,1.0291942596184263
2010-03-16,0.007934598353316492,-2.039933299353497,-0.0397388621642191,0.0033786260613244,0,Bull,0.987810119574019,0.9756202399198121,0.06583791474892048,0.0707167384418097,2.121138549445824,2.0,2.0,0.015869196706632983,0.0,0.0,0.015869196706632983,0.007934598353316492,1.0601318189083024,1.0373605026960375
